"neighbors",".metric",".estimator","mean","n","std_err",".config"
1,"accuracy","binary",0.726610607235,5,0.00664314436449404,"Preprocessor1_Model01"
1,"roc_auc","binary",0.726527713426336,5,0.00712183865303825,"Preprocessor1_Model01"
2,"accuracy","binary",0.726610607235,5,0.00664314436449404,"Preprocessor1_Model02"
2,"roc_auc","binary",0.805920361204006,5,0.00719346363467261,"Preprocessor1_Model02"
3,"accuracy","binary",0.776867712030856,5,0.0110786278707438,"Preprocessor1_Model03"
3,"roc_auc","binary",0.833655279647155,5,0.00707622518107115,"Preprocessor1_Model03"
4,"accuracy","binary",0.776867712030856,5,0.0110786278707438,"Preprocessor1_Model04"
4,"roc_auc","binary",0.843349419409822,5,0.00858941043519708,"Preprocessor1_Model04"
5,"accuracy","binary",0.791731273962134,5,0.014667467285268,"Preprocessor1_Model05"
5,"roc_auc","binary",0.853551207436937,5,0.00835781822330829,"Preprocessor1_Model05"
6,"accuracy","binary",0.791731273962134,5,0.014667467285268,"Preprocessor1_Model06"
6,"roc_auc","binary",0.857052373153751,5,0.01063062863038,"Preprocessor1_Model06"
7,"accuracy","binary",0.793162315412027,5,0.0120373130063438,"Preprocessor1_Model07"
7,"roc_auc","binary",0.86201088724455,5,0.0103217154172575,"Preprocessor1_Model07"
8,"accuracy","binary",0.793162315412027,5,0.0120373130063438,"Preprocessor1_Model08"
8,"roc_auc","binary",0.866129114223427,5,0.00963921048545695,"Preprocessor1_Model08"
9,"accuracy","binary",0.795994200527025,5,0.0131322891351181,"Preprocessor1_Model09"
9,"roc_auc","binary",0.867033808591032,5,0.00904084994437698,"Preprocessor1_Model09"
10,"accuracy","binary",0.795994200527025,5,0.0131322891351181,"Preprocessor1_Model10"
10,"roc_auc","binary",0.869275502412733,5,0.00894360387911059,"Preprocessor1_Model10"
11,"accuracy","binary",0.798124366178731,5,0.0090027395202593,"Preprocessor1_Model11"
11,"roc_auc","binary",0.873185804912933,5,0.0076128998647284,"Preprocessor1_Model11"
12,"accuracy","binary",0.798124366178731,5,0.0090027395202593,"Preprocessor1_Model12"
12,"roc_auc","binary",0.875272752248732,5,0.00754688781587862,"Preprocessor1_Model12"
13,"accuracy","binary",0.800264591813083,5,0.00851663970949234,"Preprocessor1_Model13"
13,"roc_auc","binary",0.875156820004047,5,0.00764556867923955,"Preprocessor1_Model13"
14,"accuracy","binary",0.800264591813083,5,0.00851663970949234,"Preprocessor1_Model14"
14,"roc_auc","binary",0.875022677448146,5,0.00786581904717678,"Preprocessor1_Model14"
15,"accuracy","binary",0.80662750408174,5,0.00836609799952462,"Preprocessor1_Model15"
15,"roc_auc","binary",0.874035773030298,5,0.00802027852268374,"Preprocessor1_Model15"
16,"accuracy","binary",0.80662750408174,5,0.00836609799952462,"Preprocessor1_Model16"
16,"roc_auc","binary",0.875406519654842,5,0.00774873689711828,"Preprocessor1_Model16"
17,"accuracy","binary",0.808750187175431,5,0.00802221671847616,"Preprocessor1_Model17"
17,"roc_auc","binary",0.875836733128326,5,0.00805324722957732,"Preprocessor1_Model17"
18,"accuracy","binary",0.808750187175431,5,0.00802221671847616,"Preprocessor1_Model18"
18,"roc_auc","binary",0.87632048139466,5,0.00797102419151149,"Preprocessor1_Model18"
19,"accuracy","binary",0.808750187175431,5,0.00802221671847616,"Preprocessor1_Model19"
19,"roc_auc","binary",0.876470319840684,5,0.00784852710356528,"Preprocessor1_Model19"
20,"accuracy","binary",0.808750187175431,5,0.00802221671847616,"Preprocessor1_Model20"
20,"roc_auc","binary",0.876278410843052,5,0.00748219948881508,"Preprocessor1_Model20"
21,"accuracy","binary",0.805918302060432,5,0.00723234808767728,"Preprocessor1_Model21"
21,"roc_auc","binary",0.876956372016068,5,0.00779342707594108,"Preprocessor1_Model21"
22,"accuracy","binary",0.805918302060432,5,0.00723234808767728,"Preprocessor1_Model22"
22,"roc_auc","binary",0.876419652446145,5,0.00746616822781543,"Preprocessor1_Model22"
23,"accuracy","binary",0.80805351554031,5,0.00773834535917427,"Preprocessor1_Model23"
23,"roc_auc","binary",0.87711622991789,5,0.00765104389246638,"Preprocessor1_Model23"
24,"accuracy","binary",0.80805351554031,5,0.00773834535917427,"Preprocessor1_Model24"
24,"roc_auc","binary",0.877310038111345,5,0.00747052961753864,"Preprocessor1_Model24"
25,"accuracy","binary",0.808056039454396,5,0.00588603597605776,"Preprocessor1_Model25"
25,"roc_auc","binary",0.877202719020451,5,0.00762591437629435,"Preprocessor1_Model25"
26,"accuracy","binary",0.808056039454396,5,0.00588603597605776,"Preprocessor1_Model26"
26,"roc_auc","binary",0.876507187482638,5,0.00757471114703568,"Preprocessor1_Model26"
27,"accuracy","binary",0.803798160717676,5,0.00926285028290993,"Preprocessor1_Model27"
27,"roc_auc","binary",0.877113646685353,5,0.00755498907248449,"Preprocessor1_Model27"
28,"accuracy","binary",0.803798160717676,5,0.00926285028290993,"Preprocessor1_Model28"
28,"roc_auc","binary",0.877787658591262,5,0.00749129673506252,"Preprocessor1_Model28"
29,"accuracy","binary",0.80805351554031,5,0.00715134340214454,"Preprocessor1_Model29"
29,"roc_auc","binary",0.877075329925383,5,0.00713529215522484,"Preprocessor1_Model29"
30,"accuracy","binary",0.80805351554031,5,0.00715134340214454,"Preprocessor1_Model30"
30,"roc_auc","binary",0.877010774087955,5,0.00712797161282728,"Preprocessor1_Model30"
