"neighbors",".metric",".estimator","mean","n","std_err",".config"
1,"accuracy","binary",0.730184326885937,5,0.0130301088807026,"Preprocessor1_Model01"
1,"roc_auc","binary",0.72854279383633,5,0.0134190747949899,"Preprocessor1_Model01"
2,"accuracy","binary",0.730184326885937,5,0.0130301088807026,"Preprocessor1_Model02"
2,"roc_auc","binary",0.77816431509932,5,0.0071449338841179,"Preprocessor1_Model02"
3,"accuracy","binary",0.760618253713654,5,0.0041923060429132,"Preprocessor1_Model03"
3,"roc_auc","binary",0.805282624651929,5,0.00572034847134425,"Preprocessor1_Model03"
4,"accuracy","binary",0.760618253713654,5,0.0041923060429132,"Preprocessor1_Model04"
4,"roc_auc","binary",0.830755729062335,5,0.00487129163135939,"Preprocessor1_Model04"
5,"accuracy","binary",0.778363982836314,5,0.00884630638247273,"Preprocessor1_Model05"
5,"roc_auc","binary",0.838674447711714,5,0.00615536973178443,"Preprocessor1_Model05"
6,"accuracy","binary",0.778363982836314,5,0.00884630638247273,"Preprocessor1_Model06"
6,"roc_auc","binary",0.850104774851507,5,0.00550577811794599,"Preprocessor1_Model06"
7,"accuracy","binary",0.784742038589487,5,0.00807872994275061,"Preprocessor1_Model07"
7,"roc_auc","binary",0.856051378191258,5,0.00571383558452656,"Preprocessor1_Model07"
8,"accuracy","binary",0.784742038589487,5,0.00807872994275061,"Preprocessor1_Model08"
8,"roc_auc","binary",0.859587884700566,5,0.00523488235146899,"Preprocessor1_Model08"
9,"accuracy","binary",0.793237676097633,5,0.00788631999633958,"Preprocessor1_Model09"
9,"roc_auc","binary",0.863469144949011,5,0.00550571679123616,"Preprocessor1_Model09"
10,"accuracy","binary",0.793237676097633,5,0.00788631999633958,"Preprocessor1_Model10"
10,"roc_auc","binary",0.864291757459543,5,0.00436457267743798,"Preprocessor1_Model10"
11,"accuracy","binary",0.793245194329345,5,0.00874666674004217,"Preprocessor1_Model11"
11,"roc_auc","binary",0.867242619208179,5,0.0043760106412846,"Preprocessor1_Model11"
12,"accuracy","binary",0.793245194329345,5,0.00874666674004217,"Preprocessor1_Model12"
12,"roc_auc","binary",0.869198246531521,5,0.00421063972686701,"Preprocessor1_Model12"
13,"accuracy","binary",0.792546034453835,5,0.00997633246445388,"Preprocessor1_Model13"
13,"roc_auc","binary",0.870843153235947,5,0.00401649287310479,"Preprocessor1_Model13"
14,"accuracy","binary",0.792546034453835,5,0.00997633246445388,"Preprocessor1_Model14"
14,"roc_auc","binary",0.87464891535326,5,0.00412348264133032,"Preprocessor1_Model14"
15,"accuracy","binary",0.796786334976196,5,0.00824488647382092,"Preprocessor1_Model15"
15,"roc_auc","binary",0.874716424730731,5,0.00378570580736556,"Preprocessor1_Model15"
16,"accuracy","binary",0.796786334976196,5,0.00824488647382092,"Preprocessor1_Model16"
16,"roc_auc","binary",0.874750860780179,5,0.00320281222295302,"Preprocessor1_Model16"
17,"accuracy","binary",0.803878587068303,5,0.0102375896591063,"Preprocessor1_Model17"
17,"roc_auc","binary",0.876224444322113,5,0.00312663773001025,"Preprocessor1_Model17"
18,"accuracy","binary",0.803878587068303,5,0.0102375896591063,"Preprocessor1_Model18"
18,"roc_auc","binary",0.876511165548608,5,0.00345604609189978,"Preprocessor1_Model18"
19,"accuracy","binary",0.803886123136863,5,0.0114236421957052,"Preprocessor1_Model19"
19,"roc_auc","binary",0.87695199662773,5,0.00301179108238207,"Preprocessor1_Model19"
20,"accuracy","binary",0.803886123136863,5,0.0114236421957052,"Preprocessor1_Model20"
20,"roc_auc","binary",0.877033241278914,5,0.00380683244579935,"Preprocessor1_Model20"
21,"accuracy","binary",0.801049208030542,5,0.0110859347687928,"Preprocessor1_Model21"
21,"roc_auc","binary",0.876385229139556,5,0.00385770001122891,"Preprocessor1_Model21"
22,"accuracy","binary",0.801049208030542,5,0.0110859347687928,"Preprocessor1_Model22"
22,"roc_auc","binary",0.877428276813653,5,0.00438342377070177,"Preprocessor1_Model22"
23,"accuracy","binary",0.80245508168697,5,0.0102442398390169,"Preprocessor1_Model23"
23,"roc_auc","binary",0.877391163234505,5,0.0042550082835385,"Preprocessor1_Model23"
24,"accuracy","binary",0.80245508168697,5,0.0102442398390169,"Preprocessor1_Model24"
24,"roc_auc","binary",0.878544706539585,5,0.00411709063608248,"Preprocessor1_Model24"
25,"accuracy","binary",0.801740831837491,5,0.00843712239779938,"Preprocessor1_Model25"
25,"roc_auc","binary",0.878392440833628,5,0.00363204458812523,"Preprocessor1_Model25"
26,"accuracy","binary",0.801740831837491,5,0.00843712239779938,"Preprocessor1_Model26"
26,"roc_auc","binary",0.877111580558066,5,0.00390830098515249,"Preprocessor1_Model26"
27,"accuracy","binary",0.798207245096048,5,0.0105110555329051,"Preprocessor1_Model27"
27,"roc_auc","binary",0.87701994588872,5,0.00381397462632081,"Preprocessor1_Model27"
28,"accuracy","binary",0.798207245096048,5,0.0105110555329051,"Preprocessor1_Model28"
28,"roc_auc","binary",0.87749723887714,5,0.00364846242597784,"Preprocessor1_Model28"
29,"accuracy","binary",0.8010290702284,5,0.00826043018550198,"Preprocessor1_Model29"
29,"roc_auc","binary",0.877633274257435,5,0.00377050590345036,"Preprocessor1_Model29"
30,"accuracy","binary",0.8010290702284,5,0.00826043018550198,"Preprocessor1_Model30"
30,"roc_auc","binary",0.877581013240851,5,0.00374442989625818,"Preprocessor1_Model30"
