".pred_class","Age","Gender","Nscore","Escore","Oscore","Ascore","Nicotine","Cannabis"
"yes",-0.07854,-0.48246,-0.67825,1.93886,1.43533,0.76096,1,"yes"
"no",2.59171,0.48246,-0.67825,-0.30033,-1.55521,2.03972,1,"no"
"no",-0.07854,0.48246,-1.05308,0.80523,-1.11902,-0.76096,0,"no"
"no",1.82213,0.48246,-0.92104,1.45421,0.44585,-0.60633,1,"no"
"yes",1.09449,-0.48246,0.52135,-1.23177,-0.31776,-0.45321,1,"yes"
"no",1.82213,-0.48246,1.37297,-0.15487,-0.17779,-1.92595,0,"yes"
"no",0.49788,-0.48246,-0.34799,-1.7625,-2.39883,-1.92595,0,"no"
"yes",1.09449,-0.48246,1.60383,-3.27393,-1.27553,0.28783,1,"no"
"yes",1.82213,-0.48246,-0.14882,0.63779,1.24033,0.76096,1,"no"
"no",1.09449,-0.48246,-0.79151,-0.43999,-1.27553,0.94156,0,"no"
"yes",-0.95197,-0.48246,0.41667,-0.30033,0.29338,1.2861,0,"no"
"no",2.59171,0.48246,-0.24649,-0.94779,-1.11902,-0.76096,0,"no"
"no",0.49788,-0.48246,0.04257,-0.43999,-0.01928,-2.07848,0,"no"
"yes",0.49788,-0.48246,1.02119,-0.15487,-0.17779,-1.21213,1,"yes"
"no",-0.07854,0.48246,-0.58016,0.63779,-1.97495,0.28783,0,"no"
"no",-0.07854,0.48246,1.37297,0.32197,0.29338,-0.30172,0,"no"
"yes",-0.07854,-0.48246,-0.34799,-0.30033,1.06238,-0.91699,1,"no"
"no",1.09449,0.48246,-0.05188,-0.69509,-1.68062,0.28783,0,"no"
"no",0.49788,-0.48246,-0.79151,-0.80615,-2.09015,-1.6209,1,"no"
"no",0.49788,-0.48246,-0.34799,-0.80615,-1.97495,1.11406,0,"no"
"no",1.82213,-0.48246,-2.05048,1.45421,-0.97631,0.59042,0,"no"
"yes",0.49788,-0.48246,0.73545,-0.15487,-1.11902,0.13136,1,"no"
"no",0.49788,0.48246,0.31287,-1.92173,-1.42424,-0.76096,0,"no"
"no",-0.07854,-0.48246,-1.55078,-0.30033,-0.45174,0.28783,0,"no"
"no",2.59171,0.48246,-0.14882,-0.80615,-0.97631,0.76096,0,"no"
"no",1.09449,-0.48246,-0.46725,0.32197,1.06238,-1.6209,0,"no"
"yes",0.49788,0.48246,0.13606,-1.09207,0.29338,-0.15487,1,"no"
"no",1.09449,0.48246,-0.46725,0.63779,-0.31776,-0.60633,0,"no"
"no",1.09449,-0.48246,-0.58016,1.2861,1.43533,-1.34289,0,"no"
